Title,Author,Category
"Take Command: Find Your Inner Strength, Build Enduring Relationships, and Live the Life You Want (Dale Carnegie Books)",Joe   Hart,Psychology & Self-Help
Phenomenology of Perception,Maurice Merleau-Ponty,Philosophy & Thought
"Firestarters: How Innovators, Instigators, and Initiators Can Inspire You to Ignite Your Own Life",Raoul Davis Jr.,Psychology & Self-Help
The Uni-Verse: The Ultimate Guide to Surviving University,Jack  Edwards,Psychology & Self-Help
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,Business & Productivity
Artificial Intelligence: A Guide for Thinking Humans,Melanie  Mitchell,Computer Science
The Art of Statistics: How to Learn from Data,David Spiegelhalter,Psychology & Self-Help
Hello World: Being Human in the Age of Algorithms,Hannah Fry,Computer Science
The Pragmatic Programmer: From Journeyman to Master,Dave         Thomas,Business & Productivity
The Unicorn Project,Gene Kim,Business & Productivity
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,Business & Productivity
The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,Business & Productivity
Soft Skills: The Software Developer's Life Manual,John Z. Sonmez,Business & Productivity
PHP & MySQL: Server-side Web Development,Jon Duckett,Computer Science
JavaScript and jQuery: Interactive Front-End Web Development,Jon Duckett,Computer Science
The Sorrows of Young Werther,Johann Wolfgang von Goethe,Classics
The End of Wisdom: Why Most Advice is Bullsh*t,Farah Nabih Smaily,Psychology & Self-Help
The Creative Act: A Way of Being,Rick Rubin,Psychology & Self-Help
Upheaval: Turning Points for Nations in Crisis,Jared Diamond,History & Politics
Patterns Of Culture,Ruth Benedict,Philosophy & Thought
The World Until Yesterday: What Can We Learn from Traditional Societies?,Jared Diamond,History & Politics
Less Is More: How Degrowth Will Save the World,Jason Hickel,History & Politics
The Unseen Truth: When Race Changed Sight in America,Sarah   Lewis,Social Justice & Activism
Discipline and Punish: The Birth of the Prison,Michel Foucault,Philosophy & Thought
On the Genealogy of Morals,Friedrich Nietzsche,Philosophy & Thought
Erotism: Death and Sensuality,Georges Bataille,Philosophical Fiction
The Gay Science: With a Prelude in Rhymes and an Appendix of Songs,Friedrich Nietzsche,Philosophy & Thought
Spinoza: Practical Philosophy,Gilles Deleuze,Philosophy & Thought
Ethics,Baruch Spinoza,Philosophy & Thought
De Anima (On the Soul),Aristotle,Philosophy & Thought
The Art of Rhetoric,Aristotle,Philosophy & Thought
Physics,Aristotle,Engineering & Physics
Poetics,Aristotle,Philosophy & Thought
Metaphysics,Aristotle,Philosophy & Thought
"Help!: How to Be Slightly Happier, Slightly More Successful and Get a Bit More Done",Oliver Burkeman,Psychology & Self-Help
Meditations for Mortals: Four Weeks to Embrace Your Limitations and Make Time for What Counts,Oliver Burkeman,Psychology & Self-Help
The Antidote: Happiness for People Who Can't Stand Positive Thinking,Oliver Burkeman,Psychology & Self-Help
The Eighteenth Brumaire of Louis Bonaparte,Karl Marx,History & Politics
The Marx-Engels Reader,Karl Marx,Philosophy & Thought
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,Philosophical Fiction
Nonsense on Stilts: How to Tell Science from Bunk,Massimo Pigliucci,Philosophy & Thought
Bad Astronomy,Philip Plait,Astronomy & Cosmology
The Society of the Spectacle,Guy Debord,Philosophy & Thought
Orientalism,Edward W. Said,History & Politics
The Wretched of the Earth,Frantz Fanon,History & Politics
Das Kapital,Karl Marx,History & Politics
Capitalist Realism: Is There No Alternative?,Mark Fisher,History & Politics
The Communist Manifesto,Karl Marx,History & Politics
Elite Capture: How the Powerful Took Over Identity Politics (And Everything Else),Olfmi O. Tw,History & Politics
When You Are Engulfed in Flames,David Sedaris,Biographies & Memoirs
Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,Biographies & Memoirs
A Clockwork Orange,Anthony Burgess,Classics
Catch-22,Joseph Heller,Contemporary & Literary Fiction
Atlas Shrugged,Ayn Rand,Philosophical Fiction
One Flew Over the Cuckoos Nest,Ken Kesey,Contemporary & Literary Fiction
The Prime of Miss Jean Brodie,Muriel Spark,Contemporary & Literary Fiction
The Inmate,Freida McFadden,Mystery & Thriller
"The Perfect Marriage (Perfect, #1)",Jeneva Rose,Mystery & Thriller
Never Lie,Freida McFadden,Mystery & Thriller
Behind Closed Doors,B.A. Paris,Mystery & Thriller
Pretty Girls,Karin Slaughter,Mystery & Thriller
The Woman in White,Wilkie Collins,Mystery & Thriller
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Mollie Katzen,Food & Cookbooks
Barefoot Contessa Family Style: Easy Ideas and Recipes That Make Everyone Feel Like Family,Ina Garten,Food & Cookbooks
Essentials of Classic Italian Cooking,Marcella Hazan,Food & Cookbooks
Mastering the Art of French Cooking,Julia Child,Food & Cookbooks
The Fannie Farmer Cookbook,Marion Cunningham,Food & Cookbooks
The New Basics Cookbook,Julee Rosso,Food & Cookbooks
The Joy of Cooking,Irma S. Rombauer,Food & Cookbooks
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,Business & Productivity
To Overthrow the World: The Rise and Fall and Rise of Communism,Sean McMeekin,History & Politics
Everything Is F*cked: A Book About Hope,Mark Manson,Psychology & Self-Help
The Extinction of Experience: Being Human in a Disembodied World,Christine Rosen,Philosophical Fiction
Eugene Onegin,Alexander Pushkin,Classics
Norwegian Wood,Haruki Murakami,Contemporary & Literary Fiction
Seeing,Jos Saramago,Contemporary & Literary Fiction
Blindness,Jos Saramago,Philosophical Fiction
The Unbearable Lightness of Being,Milan Kundera,Contemporary & Literary Fiction
One hundred years of solitude,Gabriel Garca Mrquez,Magical Realism
Demons,Fyodor Dostoevsky,Classics
Gravitys Rainbow,Thomas Pynchon,Philosophical Fiction
And Every Morning the Way Home Gets Longer and Longer,Fredrik Backman,Contemporary & Literary Fiction
Selected Poetry,Percy Bysshe Shelley,Classics
Tawaf E Ishq /  ,Sumaira Hameed,Contemporary & Literary Fiction
"There's Treasure Everywhere (Calvin and Hobbes, #10)",Bill Watterson,Young Adult
The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,Young Adult
"Homicidal Psycho Jungle Cat (Calvin and Hobbes, #9)",Bill Watterson,Young Adult
"The Days Are Just Packed (Calvin and Hobbes, #8)",Bill Watterson,Young Adult
"Attack of the Deranged Mutant Killer Monster Snow Goons (Calvin and Hobbes, #7)",Bill Watterson,Young Adult
The Indispensable Calvin and Hobbes,Bill Watterson,Young Adult
The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,Childhood
"Scientific Progress Goes ""Boink"" (Calvin and Hobbes, #6)",Bill Watterson,Children's Literature
"The Revenge of the Baby-Sat (Calvin and Hobbes, #5)",Bill Watterson,Young Adult
"Weirdos from Another Planet! (Calvin and Hobbes, #4)",Bill Watterson,Young Adult
"Yukon Ho! (Calvin and Hobbes, #3)",Bill Watterson,Young Adult
Something Under the Bed Is Drooling,Bill Watterson,Young Adult
"Calvin and Hobbes (Calvin and Hobbes, #1)",Bill Watterson,Young Adult
"It's a Magical World (Calvin and Hobbes, #11)",Bill Watterson,Contemporary & Literary Fiction
Just Mercy,Bryan Stevenson,Social Justice & Activism
Know My Name,Chanel Miller,Biographies & Memoirs
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,Young Adult
"Wind and Truth (The Stormlight Archive, #5)",Brandon Sanderson,Fantasy
The Sunlit Man,Brandon Sanderson,Fantasy
"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,Fantasy
"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson,Fantasy
"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,Fantasy
"Edgedancer (The Stormlight Archive, #2.5)",Brandon Sanderson,Fantasy
"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,Fantasy
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,Fantasy
Protocols: An Operating Manual for the Human Body,Andrew D. Huberman,Medicine & Neuroscience
Never Finished,David Goggins,Health & Fitness
Maldoror and the Complete Works,Comte de Lautramont,Philosophical Fiction
The Age of Innocence,Edith Wharton,Classics
The Midnight Library,Matt Haig,Contemporary & Literary Fiction
Where the Sidewalk Ends: Poems and Drawings,Shel Silverstein,Young Adult
"Crank Palace (The Maze Runner, #3.5)",James Dashner,Young Adult
"The Death Cure (The Maze Runner, #3)",James Dashner,Young Adult
"The Scorch Trials (The Maze Runner, #2)",James Dashner,Young Adult
"The Maze Runner (The Maze Runner, #1)",James Dashner,Young Adult
All the Light We Cannot See,Anthony Doerr,Historical Fiction
"The Giver (The Giver, #1)",Lois Lowry,Young Adult
"A Dream of Spring (A Song of Ice and Fire, #7)",George R.R. Martin,Fantasy
"The Winds of Winter (A Song of Ice and Fire, #6)",George R.R. Martin,Fantasy
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,Fantasy
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,Fantasy
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,Fantasy
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,Fantasy
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,Fantasy
"Holes (Holes, #1)",Louis Sachar,Young Adult
Paper Towns,John Green,Young Adult
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Contemporary & Literary Fiction
Looking for Alaska,John Green,Young Adult
"Eat, Pray, Love",Elizabeth Gilbert,Travel & Adventure
"The Notebook (The Notebook, #1)",Nicholas Sparks,Romance
The Girl on the Train,Paula Hawkins,Mystery & Thriller
Where the Crawdads Sing,Delia Owens,Contemporary & Literary Fiction
The Outsiders,S.E. Hinton,Young Adult
"Doctor Sleep (The Shining, #2)",Stephen        King,Horror
"The Shining (The Shining, #1)",Stephen        King,Horror
The DaVinci Code: A Quest for Answers,Josh McDowell,Mystery & Thriller
And Then There Were None,Agatha Christie,Mystery & Thriller
"A Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,Fantasy
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",Sarah J. Maas,Young Adult
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,Young Adult
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,Young Adult
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,Young Adult
The Nightingale,Kristin Hannah,Historical Fiction
The Lovely Bones,Alice Sebold,Contemporary & Literary Fiction
Memoirs of a Geisha,Arthur Golden,Biographies & Memoirs
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,Historical Fiction
The Boy in the Striped Pajamas,John Boyne,Historical Fiction
As Long as the Lemon Trees Grow,Zoulfa Katouh,Contemporary & Literary Fiction
The Help,Kathryn Stockett,Contemporary & Literary Fiction
The Secret Life of Bees,Sue Monk Kidd,Contemporary & Literary Fiction
"How Life Imitates Chess: Making the Right Moves, from the Board to the Boardroom",Garry Kasparov,Business & Productivity
"Garry Kasparov on My Great Predecessors, Part 1",Garry Kasparov,Biographies & Memoirs
"Chess: 5334 Problems, Combinations and Games",Lszl Polgr,Computer Science
My System: A Treatise on Chess (Tartan Books),Aron Nimzowitsch,Philosophy & Thought
Logical Chess - Move By Move,Irving Chernev,Business & Productivity
Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,Computer Science
Invent Your Own Computer Games With Python,Al Sweigart,Computer Science
Chess Meets of the Century,Bobby Fischer,Biographies & Memoirs
Chess For Beginners: Learn The Best Opening Strategies And Endgame Tactics While Boosting Problem-Solving And Critical Thinking Skills,Bobby Fischer,Psychology & Self-Help
Bobby Fischer's Games of Chess,Bobby Fischer,Biographies & Memoirs
I Was Tortured in the Pasadena Jailhouse,Bobby Fischer,Biographies & Memoirs
My 60 Memorable Games,Bobby Fischer,Biographies & Memoirs
Bobby Fischer Teaches Chess,Bobby Fischer,Biographies & Memoirs
How to Become a Straight-A Student,Cal Newport,Business & Productivity
So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,Business & Productivity
"The Comfort Crisis: Embrace Discomfort To Reclaim Your Wild, Happy, Healthy Self",Michael Easter,Psychology & Self-Help
The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,Psychology & Self-Help
Ultra-Processed People: The Science Behind Food That Isn't Food,Chris van Tulleken,Health & Fitness
Letter to His Father,Franz Kafka,Philosophical Fiction
Stolen Focus: Why You Can't Pay Attention and How to Think Deeply Again,Johann Hari,Psychology & Self-Help
The Glass Hotel,Emily St. John Mandel,Contemporary & Literary Fiction
"Men Are from Mars, Women Are from Venus",John  Gray,Psychology & Self-Help
"Still Me (Me Before You, #3)",Jojo Moyes,Contemporary & Literary Fiction
"After You (Me Before You, #2)",Jojo Moyes,Contemporary & Literary Fiction
"Me Before You (Me Before You, #1)",Jojo Moyes,Contemporary & Literary Fiction
Water for Elephants,Sara Gruen,Historical Fiction
White Nights,Fyodor Dostoevsky,Classics
The Kite Runner,Khaled Hosseini,Historical Fiction
A Thousand Splendid Suns,Khaled Hosseini,Historical Fiction
And the Mountains Echoed,Khaled Hosseini,Contemporary & Literary Fiction
A Little Life,Hanya Yanagihara,Contemporary & Literary Fiction
I Can Make You Happy,Paul McKenna,Psychology & Self-Help
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,Computer Science
Stopping By Woods on a Snowy Evening,Robert Frost,Classics
Inner Dimensions of Islamic Worship,Abu Hamid al-Ghazali,Religion & Spirituality
Ihya Ulum Id Din,Abu Hamid al-Ghazali,Religion & Spirituality
Al-Ghazali's Path to Sufism: His Deliverance from Error (al-Munqidh min al-Dalal),Abu Hamid al-Ghazali,Religion & Spirituality
The Alchemy of Happiness,Abu Hamid al-Ghazali,Philosophy & Thought
  ,Al-Farabi,Philosophy & Thought
Mutluluun Kazanlmas (Tahsilu's-Sa'ada),Al-Farabi,Philosophy & Thought
    ,Al-Farabi,Philosophy & Thought
Alfarabi's Philosophy of Plato and Aristotle,Al-Farabi,Philosophy & Thought
"The Political Writings: ""Selected Aphorisms"" and Other Texts (Agora Editions) (VOLUME 1)",Al-Farabi,Philosophy & Thought
"The Political Writings: ""Political Regime"" and ""Summary of Plato's Laws"" (Agora Editions)",Al-Farabi,Philosophy & Thought
Le recensement des sciences,Al-Farabi,Philosophy & Thought
Ibn Sinas Remarks and Admonitions: Physics and Metaphysics: An Analysis and Annotated Translation,Avicenna,Philosophy & Thought
The Metaphysics of The Healing,Avicenna,Philosophy & Thought
Avicenna Canon of Medicine Complete Five Volume Set,Avicenna,Medicine & Neuroscience
An Arab Philosophy Of History. Selections from the Prolegomena of Ibn Khaldun of Tunis (1332-1406),Ibn Khaldun,History & Politics
   #1,Ibn Khaldun,History & Politics
The Muqaddimah: An Introduction to History,Ibn Khaldun,History & Politics
Zaboor-e-Ajam,Muhammad Iqbal,Philosophical Fiction
Javed Nama (Urdu) /  ,Muhammad Iqbal,Philosophical Fiction
       ,ibn Rushd,Philosophy & Thought
 ,ibn Rushd,Philosophy & Thought
Decisive Treatise and Epistle Dedicatory (Brigham Young University - Islamic Translation Series),ibn Rushd,Philosophy & Thought
On the Harmony of Religions and Philosophy,ibn Rushd,Philosophy & Thought
"Averroes, the Decisive Treatise: The Connection Between Islamic Religious Law and Philosophy (7)",ibn Rushd,Philosophy & Thought
"Averroes on Plato's ""Republic"" (Agora Editions)",ibn Rushd,Philosophy & Thought
Faith and Reason in Islam: Averroes' Exposition of Religious Arguments (Great Islamic Writings),ibn Rushd,Philosophy & Thought
"Ibn Rushd's Metaphysics: A translation with introduction of Ibn Rushd's commentary on Aristotle's metaphysics, book Lm (Islamic philosophy and theology)",ibn Rushd,Philosophy & Thought
The Distinguished Jurist's Primer 2-Volume Set: Bidayat al-Mujtahid wa Nihayat al-Muqtasid (Great Books of Islamic Civilization),ibn Rushd,Philosophy & Thought
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,Contemporary & Literary Fiction
"Purification of the Heart: Signs, Symptoms and Cures of the Spiritual Diseases of the Heart",Hamza Yusuf,Religion & Spirituality
The Essential Rumi,Jalal ad-Din Muhammad ar-Rumi,Philosophy & Thought
Cosmos: Possible Worlds,Ann Druyan,Astronomy & Cosmology
The Magic Shop,H.G. Wells,Fantasy
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,Contemporary & Literary Fiction
Isaac Newton,James Gleick,Biographies & Memoirs
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J. Seifer,Biographies & Memoirs
The Letters of Vincent van Gogh,Vincent van Gogh,Biographies & Memoirs
The Pope of Physics: Enrico Fermi and the Birth of the Atomic Age,Gino Segr,Astronomy & Cosmology
Gandhi: His Life and Message for the World,Louis Fischer,Biographies & Memoirs
Racing Weight: How to Get Lean for Peak Performance,Matt Fitzgerald,Health & Fitness
Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,Psychology & Self-Help
How Asia Works: Success and Failure in the World's Most Dynamic Region,Joe Studwell,History & Politics
Lee Kuan Yew: Hard Truths To Keep Singapore Going,Zuraidah Ibrahim,Biographies & Memoirs
A. Lincoln,Ronald C. White Jr.,Biographies & Memoirs
Einstein: The Life and Times,Ronald William Clark,Biographies & Memoirs
"Generative Deep Learning: Teaching Machines to Paint, Write, Compose, and Play",David        Foster,Computer Science
"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps",Valliappa Lakshmanan,Computer Science
Deep Learning for Coders with Fastai and Pytorch: AI Applications Without a PhD,Jeremy   Howard,Computer Science
Designing Data-Intensive Applications,Martin Kleppmann,Computer Science
Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,Chip Huyen,Computer Science
Deep Learning with Python,Franois Chollet,Computer Science
LLM Engineer's Handbook: Master the art of engineering large language models from concept to production,Paul Iusztin,Computer Science
Hands-On Machine Learning with Scikit-Learn and TensorFlow,Aurlien Gron,Computer Science
Data Science from Scratch: First Principles with Python,Joel Grus,Computer Science
Python for Data Analysis,Wes McKinney,Computer Science
Algorithms to Live By: The Computer Science of Human Decisions,Brian  Christian,Computer Science
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Business & Productivity
Introduction to Algorithms,Thomas H. Cormen,Computer Science
A Thousand Brains: A New Theory of Intelligence,Jeff Hawkins,Computer Science
Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,History & Politics
Practical Statistics for Data Scientists: 50 Essential Concepts,Peter Bruce,Computer Science
No Longer Human,Osamu Dazai,Philosophical Fiction
Beyond Order: 12 More Rules For Life,Jordan B. Peterson,Psychology & Self-Help
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,Psychology & Self-Help
No One Writes Back,Jang    Eun-Jin,Contemporary & Literary Fiction
"The Rust Programming Language, 2nd Edition",Steve Klabnik,Computer Science
"Revenge of the Tipping Point: Overstories, Superspreaders, and the Rise of Social Engineering",Malcolm Gladwell,History & Politics
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,Finance & Investing
Business Model Generation,Alexander Osterwalder,Business & Productivity
The Art of Seduction,Robert Greene,Psychology & Self-Help
The Housekeeper and the Professor,Yko Ogawa,Contemporary & Literary Fiction
How Do You Live?,Genzaburo Yoshino,Contemporary & Literary Fiction
Persuasion: The Art of Influencing People,James Borg,Psychology & Self-Help
Im Glad My Mom Died,Jennette McCurdy,Biographies & Memoirs
Pachinko,Min Jin Lee,Historical Fiction
Dark Matter,Blake Crouch,Science Fiction
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,Romance
The Fault in Our Stars,John Green,Young Adult
Tao Te Ching,Lao Tzu,Philosophy & Thought
How to Set Up Your Desk: A Guide to Fixing a (Surprisingly) Overlooked Productivity Problem,Matt Perman,Business & Productivity
Musashi,Eiji Yoshikawa,Historical Fiction
The Minimalist Program (Current Studies in Linguistics),Noam Chomsky,Philosophy & Thought
Breath: The New Science of a Lost Art,James Nestor,Health & Fitness
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,Romance
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,Romance
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,Romance
Your Brain On Porn: Internet Pornography and the Emerging Science of Addiction,Gary Wilson,Medicine & Neuroscience
Be Useful: Seven Tools for Life,Arnold Schwarzenegger,Psychology & Self-Help
The Overcoat,Nikolai Gogol,Classics
The Judgement (Short Story),Franz Kafka,Philosophical Fiction
The Great Wall of China,Franz Kafka,Philosophical Fiction
"God Sees the Truth, but Waits",Leo Tolstoy,Classics
Three Questions,Leo Tolstoy,Philosophical Fiction
Piranesi,Susanna Clarke,Contemporary & Literary Fiction
White Teeth,Zadie Smith,Contemporary & Literary Fiction
The Girl with the Louding Voice,Abi Dar,Contemporary & Literary Fiction
Home Fire,Kamila Shamsie,Contemporary & Literary Fiction
Demon Copperhead,Barbara Kingsolver,Contemporary & Literary Fiction
Small Things Like These,Claire Keegan,Contemporary & Literary Fiction
The Island of Missing Trees,Elif Shafak,Contemporary & Literary Fiction
The Promise,Damon Galgut,Contemporary & Literary Fiction
Hamnet,Maggie O'Farrell,Contemporary & Literary Fiction
A Midsummer Nights Dream,William Shakespeare,Classics
Macbeth,William Shakespeare,Classics
Hamlet,William Shakespeare,Classics
Romeo and Juliet,William Shakespeare,Classics
The Bee Sting,Paul Murray,Contemporary & Literary Fiction
Normal People,Sally Rooney,Contemporary & Literary Fiction
Outline,Rachel Cusk,Contemporary & Literary Fiction
The Song of Achilles,Madeline Miller,LGBTQ+ Fiction
There There,Tommy Orange,Contemporary & Literary Fiction
The Dream of a Ridiculous Man,Fyodor Dostoevsky,Classics
The Christmas Tree and the Wedding,Fyodor Dostoevsky,Classics
Poor People and A Little Hero,Fyodor Dostoevsky,Classics
An Abundance of Wild Roses,Feryal Ali-Gauhar,Contemporary & Literary Fiction
Mornings in Jenin,Susan Abulhawa,Contemporary & Literary Fiction
Against the Loveless World,Susan Abulhawa,Contemporary & Literary Fiction
"Born to Run, Eat and Run, Running with the Kenyans 3 Books Collection Set",Christopher McDougall,Health & Fitness
North: Finding My Way While Running the Appalachian Trail,Scott Jurek,Biographies & Memoirs
Eat & Run: My Unlikely Journey to Ultramarathon Greatness,Scott Jurek,Health & Fitness
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,Historical Fiction
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,Biographies & Memoirs
Spaceman: An Astronaut's Unlikely Journey to Unlock the Secrets of the Universe,Mike Massimino,Biographies & Memoirs
Mans Search for Meaning,Viktor E. Frankl,Philosophy & Thought
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Psychology & Self-Help
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Psychology & Self-Help
Howards End,E.M. Forster,Classics
The Razors Edge,W. Somerset Maugham,Philosophical Fiction
Brighton Rock,Graham Greene,Mystery & Thriller
Nadja,Andr Breton,Philosophical Fiction
"The Case-Book of Sherlock Holmes (Sherlock Holmes, #9)",Arthur Conan Doyle,Mystery & Thriller
"His Last Bow (Sherlock Holmes, #8)",Arthur Conan Doyle,Mystery & Thriller
"The Valley of Fear (Sherlock Holmes, #7)",Arthur Conan Doyle,Mystery & Thriller
"The Return of Sherlock Holmes (Sherlock Holmes, #6)",Arthur Conan Doyle,Mystery & Thriller
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,Mystery & Thriller
"The Memoirs of Sherlock Holmes (Sherlock Holmes, #4)",Arthur Conan Doyle,Mystery & Thriller
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,Mystery & Thriller
"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,Mystery & Thriller
"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,Mystery & Thriller
Roxana,Daniel Defoe,Historical Fiction
The Underground Railroad,Colson Whitehead,Historical Fiction
Slaughterhouse-Five,Kurt Vonnegut Jr.,Contemporary & Literary Fiction
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,Mystery & Thriller
