Title,Author,Category
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,Fantasy
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,Young Adult
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,Young Adult
The Secret History,Donna Tartt,Contemporary & Literary Fiction
The Old Man and the Sea,Ernest Hemingway,Classics
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,Robert Louis Stevenson,Horror
The Birth of Tragedy,Friedrich Nietzsche,Philosophy & Thought
A Happy Death,Albert Camus,Philosophical Fiction
The Myth of Sisyphus and Other Essays,Albert Camus,Philosophical Fiction
The Myth of Sisyphus,Albert Camus,Philosophical Fiction
The Fall,Albert Camus,Philosophical Fiction
The Plague,Albert Camus,Philosophical Fiction
The Stranger,Albert Camus,Philosophical Fiction
Sons and Lovers,D.H. Lawrence,Contemporary & Literary Fiction
The Good Soldier: A Tale of Passion,Ford Madox Ford,Philosophical Fiction
The Bluest Eye,Toni Morrison,Contemporary & Literary Fiction
Les Aventures de Tom Sawyer - The Adventures of Tom Sawye,Mark Twain,Young Adult
Mrs. Dalloway,Virginia Woolf,Contemporary & Literary Fiction
The Master and Margarita,Mikhail Bulgakov,Philosophical Fiction
Season of Migration to the North,Tayeb Salih,Contemporary & Literary Fiction
East of Eden,John Steinbeck,Contemporary & Literary Fiction
North and South,Elizabeth Gaskell,Historical Fiction
Northanger Abbey,Jane Austen,Classics
Lady Susan,Jane Austen,Classics
Sense and Sensibility,Jane Austen,Classics
Persuasion,Jane Austen,Classics
Americanah,Chimamanda Ngozi Adichie,Contemporary & Literary Fiction
Vile Bodies,Evelyn Waugh,Contemporary & Literary Fiction
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,Contemporary & Literary Fiction
Middlemarch,George Eliot,Classics
Charlottes Web,E.B. White,Young Adult
A Farewell to Arms,Ernest Hemingway,Contemporary & Literary Fiction
Tess of the DUrbervilles,Thomas Hardy,Classics
Veronika Decides to Die,Paulo Coelho,Philosophical Fiction
Rebecca,Daphne du Maurier,Historical Fiction
Around the World in Eighty Days,Jules Verne,Historical Fiction
The Crying of Lot 49,Thomas Pynchon,Contemporary & Literary Fiction
The Scarlet Letter,Nathaniel Hawthorne,Classics
"Paradise (Beloved Trilogy, #3)",Toni Morrison,Contemporary & Literary Fiction
"Jazz (Beloved Trilogy, #2)",Toni Morrison,Contemporary & Literary Fiction
"Beloved (Beloved Trilogy, #1)",Toni Morrison,Contemporary & Literary Fiction
The Iliad,Homer,Classics
The Odyssey,Homer,Classics
Treasure Island,Robert Louis Stevenson,Classics
Life of Pi,Yann Martel,Magical Realism
"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,Contemporary & Literary Fiction
"The Handmaids Tale (The Handmaid's Tale, #1)",Margaret Atwood,Contemporary & Literary Fiction
A Journal of the Plague Year,Daniel Defoe,Historical Fiction
"Sandworms of Dune (Dune, #8)",Brian Herbert,Science Fiction
"Hunters of Dune (Dune, #7)",Brian Herbert,Science Fiction
Chapterhouse: Dune (Dune #6),Frank Herbert,Science Fiction
Heretics of Dune (Dune #5),Frank Herbert,Science Fiction
God Emperor of Dune (Dune #4),Frank Herbert,Science Fiction
Children of Dune (Dune #3),Frank Herbert,Science Fiction
Dune Messiah (Dune #2),Frank Herbert,Science Fiction
"The Hitchhikers Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,Science Fiction
Heart of Darkness,Joseph Conrad,Classics
Wide Sargasso Sea,Jean Rhys,Contemporary & Literary Fiction
"Little Women (Little Women, #1)",Louisa May Alcott,Historical Fiction
To the Lighthouse,Virginia Woolf,Contemporary & Literary Fiction
The Bell Jar,Sylvia Plath,Contemporary & Literary Fiction
Bleak House,Charles Dickens,Classics
Oliver Twist,Charles Dickens,Classics
A Christmas Carol,Charles Dickens,Classics
Robinson Crusoe,Daniel Defoe,Classics
Moll Flanders,Daniel Defoe,Historical Fiction
The Castle,Franz Kafka,Philosophical Fiction
The Trial,Franz Kafka,Philosophical Fiction
The God of Small Things,Arundhati Roy,Contemporary & Literary Fiction
Alices Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,Fantasy
"Bilbo's Last Song (Middle Earth, #4.5)",J.R.R. Tolkien,Fantasy
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,Fantasy
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,Fantasy
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,Fantasy
"The Hobbit, or There and Back Again",J.R.R. Tolkien,Fantasy
The Little Prince,Antoine de Saint-Exupry,Philosophical Fiction
Gone with the Wind,Margaret Mitchell,Historical Fiction
The Twilight Saga: The Official Illustrated Guide,Stephenie Meyer,Young Adult
"Midnight Sun (The Twilight Saga, #5)",Stephenie Meyer,Young Adult
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,Young Adult
"The Short Second Life of Bree Tanner (The Twilight Saga, #3.5)",Stephenie Meyer,Young Adult
"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,Young Adult
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,Young Adult
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,Young Adult
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,Fantasy
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,Fantasy
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,Young Adult
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,Young Adult
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,Young Adult
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,Fantasy
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,Fantasy
"Harry Potter and the Sorcerers Stone (Harry Potter, #1)",J.K. Rowling,Fantasy
"Harry Potter: The Prequel (Harry Potter, #0.5)",J.K. Rowling,Young Adult
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,Young Adult
Meditations,Marcus Aurelius,Philosophy & Thought
To Kill a Mockingbird,Harper Lee,Contemporary & Literary Fiction
Adaptive Markets: Financial Evolution at the Speed of Thought,Andrew W. Lo,Finance & Investing
Inside the Investor's Brain: The Power of Mind Over Money,Richard L. Peterson,Finance & Investing
"The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire",David Deida,Psychology & Self-Help
Educated,Tara Westover,Biographies & Memoirs
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,Young Adult
The Israel Lobby and U.S. Foreign Policy,John J. Mearsheimer,History & Politics
Lord of the Flies,William Golding,Classics
Chokepoint Capitalism: How Big Tech and Big Content Captured Creative Labor Markets and How We'll Win Them Back,Rebecca Giblin,Business & Productivity
My Inventions,Nikola Tesla,Biographies & Memoirs
  -  , ,History & Politics
   #1, ,Contemporary & Literary Fiction
Tafsir Ibn Kathir Volume 10 0f 10,Muhammad Saed Abdul-Rahman,Religion & Spirituality
Tafsir Ibn Kathir Volume 9 0f 10,Muhammad Saed Abdul-Rahman,Religion & Spirituality
Tafsir Ibn Kathir Volume 8 0f 10,Muhammad Saed Abdul-Rahman,Religion & Spirituality
Tafsir Ibn Kathir Volume 7 0f 10,Muhammad Saed Abdul-Rahman,Religion & Spirituality
Tafsir Ibn Kathir Volume 6 0f 10,Muhammad Saed Abdul-Rahman,Religion & Spirituality
Tafsir Ibn Kathir Volume 5 0f 10,Muhammad Saed Abdul-Rahman,Religion & Spirituality
Tafsir Ibn Kathir Volume 4 0f 10,Muhammad Saed Abdul-Rahman,Religion & Spirituality
Tafsir Ibn Kathir Volume 3 0f 10,Muhammad Saed Abdul-Rahman,Religion & Spirituality
Tafsir Ibn Kathir Volume 2 0f 10,Muhammad Saed Abdul-Rahman,Religion & Spirituality
Tafsir Ibn Kathir Volume 1 0f 10,Ibn Kathir,Religion & Spirituality
Lifespan: Why We Ageand Why We Don't Have To,David A. Sinclair,Biology & Life Sciences
Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,Medicine & Neuroscience
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,Astronomy & Cosmology
The Selfish Gene,Richard Dawkins,Biology & Life Sciences
Shadows of Forgotten Ancestors,Carl Sagan,Astronomy & Cosmology
Broca's Brain: Reflections on the Romance of Science,Carl Sagan,Astronomy & Cosmology
The Varieties of Scientific Experience: A Personal View of the Search for God,Carl Sagan,Astronomy & Cosmology
Billions & Billions: Thoughts on Life and Death at the Brink of the Millennium,Carl Sagan,Astronomy & Cosmology
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,Biology & Life Sciences
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,Astronomy & Cosmology
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,Astronomy & Cosmology
Contact,Carl Sagan,Astronomy & Cosmology
Cosmos,Carl Sagan,Astronomy & Cosmology
"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,Biographies & Memoirs
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,Biographies & Memoirs
Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher,Richard P. Feynman,Engineering & Physics
"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativityand Will Determine the Fate of the Human Race",Daniel Z. Lieberman,Medicine & Neuroscience
Brave New World,Aldous Huxley,Philosophical Fiction
What Makes Sammy Run?,Budd Schulberg,Contemporary & Literary Fiction
The Moviegoer,Walker Percy,Contemporary & Literary Fiction
"Ask the Dust (The Saga of Arturo Bandini, #3)",John Fante,Contemporary & Literary Fiction
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,Biographies & Memoirs
Rising Tide: the Great Mississippi Flood of 1927 and How it Changed America,John M. Barry,History & Politics
The New New Thing: A Silicon Valley Story by Michael Lewis (2014-01-06),Michael   Lewis,Business & Productivity
The Tiger: A True Story of Vengeance and Survival,John Vaillant,True Crime
A Nervous Splendor: Vienna 1888-1889,Frederic Morton,History & Politics
In Cold Blood,Truman Capote,True Crime
And the Sea Will Tell,Vincent Bugliosi,True Crime
Barbarians at the Gate: The Fall of RJR Nabisco,Bryan Burrough,Business & Productivity
Totto-chan: The Little Girl at the Window,Tetsuko Kuroyanagi,Young Adult
In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,History & Politics
My Bondage and My Freedom (The Autobiographies #2),Frederick Douglass,Biographies & Memoirs
"Lives of Eminent Philosophers, Vol 2, Books 6-10",Diogenes Laertius,Philosophy & Thought
"Lives of Eminent Philosophers, Vol 1, Books 1-5",Diogenes Laertius,Philosophy & Thought
How They Succeeded: Life Stories of Successful Men Told by Themselves,Orison Swett Marden,Biographies & Memoirs
Where Men Win Glory: The Odyssey of Pat Tillman,Jon Krakauer,Biographies & Memoirs
"The Path to Power (The Years of Lyndon Johnson, #1)",Robert A. Caro,History & Politics
Letters from a Self-Made Merchant to His Son,George Horace Lorimer,Business & Productivity
Purple Cow: Transform Your Business by Being Remarkable,Seth Godin,Business & Productivity
The Complete Personal Memoirs of Ulysses S Grant,Ulysses S. Grant,Biographies & Memoirs
Billion-Dollar Lessons: What You Can Learn from the Most Inexcusable Business Failures of the Last 25 Years,Paul B. Carroll,Business & Productivity
Boyd: The Fighter Pilot Who Changed the Art of War,Robert Coram,Biographies & Memoirs
Reveille for Radicals,Saul D. Alinsky,History & Politics
History of the Peloponnesian War,Thucydides,History & Politics
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,Psychology & Self-Help
Bird by Bird,Anne Lamott,Psychology & Self-Help
Civil War Stories,Ambrose Bierce,Historical Fiction
Qatra Qatra Qulzum (Essays) 1989,Wasif Ali Wasif,Philosophical Fiction
A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,Philosophy & Thought
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,Psychology & Self-Help
Ego Is the Enemy,Ryan Holiday,Psychology & Self-Help
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,Psychology & Self-Help
"Gdel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,Philosophy & Thought
A History of Civilizations,Fernand Braudel,History & Politics
The Purpose of Life,Wahiduddin Khan,Religion & Spirituality
Political Order and Political Decay: From the Industrial Revolution to the Globalization of Democracy,Francis Fukuyama,History & Politics
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,Mystery & Thriller
The Death of Ivan Ilych,Leo Tolstoy,Classics
"The Autobiography of Martin Luther King, Jr.",Martin Luther King Jr.,Biographies & Memoirs
"My Life in Full: Work, Family, and Our Future",Indra  Nooyi,Biographies & Memoirs
"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,Contemporary & Literary Fiction
The Intelligent Investor,Benjamin Graham,Finance & Investing
Being Henry: The Fonz . . . and Beyond,Henry Winkler,Biographies & Memoirs
Bullshit Jobs: A Theory,David Graeber,Philosophy & Thought
The Origins of Political Order: From Prehuman Times to the French Revolution,Francis Fukuyama,History & Politics
Mein Kampf,Adolf Hitler,History & Politics
The Top Five Regrets of the Dying: A Life Transformed by the Dearly Departing,Bronnie Ware,Psychology & Self-Help
Outliers: The Story of Success,Malcolm Gladwell,Business & Productivity
Ask and It Is Given: Learning to Manifest Your Desires,Esther Hicks,Psychology & Self-Help
Influence: The Psychology of Persuasion,Robert B. Cialdini,Psychology & Self-Help
"The Charisma Machine: The Life, Death, and Legacy of One Laptop per Child (Infrastructures)",Morgan G. Ames,Computer Science
"The Google Resume: How to Prepare for a Career and Land a Job at Apple, Microsoft, Google, or Any Top Tech Company",Gayle Laakmann McDowell,Business & Productivity
The Bastard of Istanbul,Elif Shafak,Contemporary & Literary Fiction
The Prince and the Pauper,Mark Twain,Historical Fiction
Fantastic Mr. Fox,Roald Dahl,Children's Literature
The Twits,Roald Dahl,Children's Literature
The Witches,Roald Dahl,Horror
James and the Giant Peach,Roald Dahl,Fantasy
The BFG,Roald Dahl,Young Adult
Alice's Adventures in Wonderland,Lewis Carroll,Classics
"The da Vinci Code (Robert Langdon, #2)",Dan    Brown,Mystery & Thriller
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,Psychology & Self-Help
The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre,Biographies & Memoirs
Numbers Don't Lie: 71 Things You Need to Know About the World,Vaclav Smil,History & Politics
Anna Karenina,Leo Tolstoy,Classics
Matilda,Roald Dahl,Young Adult
The Complete Sherlock Holmes,Arthur Conan Doyle,Mystery & Thriller
Aesops Fables,Aesop,Classics
The Collected Poems of W.B. Yeats,W.B. Yeats,Classics
The Complete Stories and Poems,Edgar Allan Poe,Classics
A Gentle Creature,Fyodor Dostoevsky,Classics
Long Walk to Freedom (Volume 1: 1918-1962),Nelson Mandela,Biographies & Memoirs
One Man's View of the World,Lee Kuan Yew,History & Politics
Assata: An Autobiography,Assata Shakur,Biographies & Memoirs
The Glass Castle,Jeannette Walls,Biographies & Memoirs
I Am the Messenger,Markus Zusak,Young Adult
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemolu,History & Politics
The Road,Cormac McCarthy,Contemporary & Literary Fiction
Essays and Lectures,Ralph Waldo Emerson,Philosophy & Thought
Discourses and Selected Writings,Epictetus,Philosophy & Thought
"The Mansion (The Snopes Trilogy, #3)",William Faulkner,Contemporary & Literary Fiction
"The Town (The Snopes Trilogy, #2)",William Faulkner,Contemporary & Literary Fiction
"The Hamlet (The Snopes Trilogy, #1)",William Faulkner,Classics
The Gambler,Fyodor Dostoevsky,Classics
Notes from Underground,Fyodor Dostoevsky,Philosophical Fiction
The Idiot,Fyodor Dostoevsky,Classics
Zarb-e-Kaleem: Armagan-e-Hijaz,Muhammad Iqbal,Philosophical Fiction
Baal-e-Jibreel,Muhammad Iqbal,Religion & Spirituality
Kulliyat-e-Iqbal: Urdu /  : ,Muhammad Iqbal,Philosophy & Thought
The Reconstruction of Religious Thought in Islam,Muhammad Iqbal,Philosophy & Thought
Benjamin Franklin: An American Life,Walter Isaacson,Biographies & Memoirs
Leonardo da Vinci,Walter Isaacson,Biographies & Memoirs
The Visual Mba: Two Years of Business School Packed into One Priceless Book of Pure Awesomeness,Jason Barron,Business & Productivity
How to Win Every Argument: The Use and Abuse of Logic,Madsen Pirie,Philosophy & Thought
"Win Every Argument: The Art of Debating, Persuading, and Public Speaking",Mehdi Hasan,Psychology & Self-Help
"The Google Story: Inside the Hottest Business, Media and Technology Success of Our Time",David A. Vise,Business & Productivity
The Prince,Niccol Machiavelli,History & Politics
The Top Insults: How to Win Any ArgumentWhile Laughing!,Full Sea Books,Psychology & Self-Help
From Third World to First: The Singapore Story: 1965-2000,Lee Kuan Yew,Biographies & Memoirs
The 33 Strategies of War,Robert Greene,Business & Productivity
The 50th Law,50 Cent,Psychology & Self-Help
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,Business & Productivity
Laques / Eutfron,Plato,Philosophy & Thought
The Republic,Plato,Philosophy & Thought
Phaedrus (Hackett Classics),Plato,Philosophy & Thought
Phaedo,Plato,Philosophy & Thought
The Symposium,Plato,Philosophy & Thought
Aab-e-Hayat/ ,Umera Ahmed,Contemporary & Literary Fiction
Peer-e-Kamil/ ,Umera Ahmed,Contemporary & Literary Fiction
Shikwa and Jawab-i-Shikwa: Iqbal's Dialogue with Allah,Muhammad Iqbal,Religion & Spirituality
Mazhab aur science,Wahiduddin Khan,Religion & Spirituality
Ikigai: Los secretos de Japn para una vida larga y feliz,Hctor  Garca,Psychology & Self-Help
The Daily Laws: 366 Meditations from the author of the bestselling The 48 Laws of Power,Robert Greene,Psychology & Self-Help
Politics,Aristotle,Philosophy & Thought
Apology,Plato,Philosophy & Thought
Leviathan,Thomas Hobbes,Philosophy & Thought
Utilitarianism,John Stuart Mill,Philosophy & Thought
Being and Time,Martin Heidegger,Philosophy & Thought
Critique of Pure Reason,Immanuel Kant,Philosophy & Thought
"The Trial and Death of Socrates (Euthyphro, Apology, Crito, Phaedo)",Plato,Philosophy & Thought
The Nicomachean Ethics,Aristotle,Philosophy & Thought
Uncommon Knowledge: the Economist Explains,Tom Standage,History & Politics
Beyond Good and Evil,Friedrich Nietzsche,Philosophy & Thought
Thus Spoke Zarathustra,Friedrich Nietzsche,Philosophy & Thought
Slow Productivity: The Lost Art of Accomplishment Without Burnout,Cal Newport,Business & Productivity
The Richest Man in Babylon,George S. Clason,Finance & Investing
Greenlights,Matthew McConaughey,Biographies & Memoirs
"Jinnah: His Successes, Failures and Role in History",Ishtiaq Ahmed,History & Politics
Napoleon Bonaparte: The Biography of a Leader Who Changed the History of France (Including the French Revolution),Adam   Brown,Biographies & Memoirs
Founders at Work: Stories of Startups' Early Days,Jessica Livingston,Business & Productivity
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Astronomy & Cosmology
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,History & Politics
A Brief History of Time,Stephen Hawking,Astronomy & Cosmology
A Short History of Nearly Everything,Bill Bryson,History & Politics
The Prophet,Kahlil Gibran,Philosophical Fiction
The Analects,Confucius,Philosophy & Thought
As a Man Thinketh,James Allen,Philosophy & Thought
Think and Grow Rich,Napoleon Hill,Psychology & Self-Help
Dracula,Bram Stoker,Horror
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,Horror
Emma,Jane Austen,Classics
Wuthering Heights,Emily Bront,Classics
The Giving Tree,Shel Silverstein,Contemporary & Literary Fiction
The Picture of Dorian Gray,Oscar Wilde,Classics
The Great Gatsby,F. Scott Fitzgerald,Classics
Lolita,Vladimir Nabokov,Philosophical Fiction
21 Lessons for the 21st Century,Yuval Noah Harari,History & Politics
The Art of Communicating,Thich Nhat Hanh,Psychology & Self-Help
Deng Xiaoping and the Transformation of China,Ezra F. Vogel,History & Politics
"This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",David Foster Wallace,Psychology & Self-Help
Mastery,Robert Greene,Business & Productivity
The Forty Rules of Love,Elif Shafak,Magical Realism
The Invisible Man,H.G. Wells,Horror
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,Business & Productivity
Letters from a Stoic,Seneca,Philosophy & Thought
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,Business & Productivity
The Laws of Human Nature,Robert Greene,Psychology & Self-Help
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,Medicine & Neuroscience
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,Psychology & Self-Help
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,Psychology & Self-Help
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Psychology & Self-Help
The Psychology of Money,Morgan Housel,Finance & Investing
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,History & Politics
The Silent Patient,Alex Michaelides,Mystery & Thriller
Great Expectations,Charles Dickens,Classics
A Tale of Two Cities,Charles Dickens,Historical Fiction
The Count of Monte Cristo,Alexandre Dumas,Historical Fiction
Jane Eyre,Charlotte Bront,Classics
Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,Psychology & Self-Help
The 4-Hour Workweek,Timothy Ferriss,Business & Productivity
The Lean Startup,Eric Ries,Business & Productivity
How to Win Friends & Influence People,Dale Carnegie,Psychology & Self-Help
When Breath Becomes Air,Paul Kalanithi,Medicine & Neuroscience
The Autobiography of Malcolm X,Malcolm X,Biographies & Memoirs
Einstein: His Life and Universe,Walter Isaacson,Biographies & Memoirs
Steve Jobs,Walter Isaacson,Biographies & Memoirs
Don Quixote,Miguel de Cervantes Saavedra,Classics
Fahrenheit 451,Ray Bradbury,Science Fiction
"Thinking, Fast and Slow",Daniel Kahneman,Psychology & Self-Help
"The World for Sale: Money, Power and the Traders Who Barter the Earths Resources",Javier Blas,History & Politics
Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,Computer Science
The Brothers Karamazov,Fyodor Dostoevsky,Classics
"Rich Dad, Poor Dad",Robert T. Kiyosaki,Business & Productivity
Aab e Gum /  ,Mushtaq Ahmad Yousufi,Contemporary & Literary Fiction
Divine Speech,Nouman Ali Khan,Religion & Spirituality
Revive Your Heart: Putting Life in Perspective,Nouman Ali Khan,Psychology & Self-Help
"The Haunted Car (Goosebumps Series 2000, #21)",R.L. Stine,Horror
Sapiens: A Brief History of Humankind,Yuval Noah Harari,History & Politics
Sceptical Essays (Routledge Classics),Bertrand Russell,Philosophy & Thought
Ulysses,James Joyce,Classics
Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,Business & Productivity
Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,Psychology & Self-Help
Mann Chalay Ka Sauda /    ,Ashfaq Ahmed,Contemporary & Literary Fiction
Homo Deus: A History of Tomorrow,Yuval Noah Harari,History & Politics
Factfulness: Ten Reasons We're Wrong About the World  and Why Things Are Better Than You Think,Hans Rosling,History & Politics
Hooked: How to Build Habit-Forming Products,Nir   Eyal,Business & Productivity
1984,George Orwell,Classics
Pride and Prejudice,Jane Austen,Classics
The Alchemist,Paulo Coelho,Magical Realism
The Diary of a Young Girl,Anne Frank,Historical Fiction
Of Mice and Men,John Steinbeck,Contemporary & Literary Fiction
The Catcher in the Rye,J.D. Salinger,Contemporary & Literary Fiction
Animal Farm,George Orwell,Classics
Crime and Punishment,Fyodor Dostoevsky,Classics
Secrets of Divine Love: A Spiritual Journey into the Heart of Islam,A. Helwa,Religion & Spirituality
Jinnah vs. Gandhi,Roderick Matthews,History & Politics
Leaders Who Changed History (DK People Who Changed History),D.K. Publishing,Biographies & Memoirs
Elon Musk,Walter Isaacson,Biographies & Memoirs
Bang-e-Dara /  ,Muhammad Iqbal,Philosophical Fiction
"Dune (Dune, #1)",Frank Herbert,Science Fiction
The Art of War,Sun Tzu,Philosophy & Thought
Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,Business & Productivity
War and Peace,Leo Tolstoy,Classics
"Moby-Dick or, The Whale",Herman Melville,Classics
The 48 Laws of Power,Robert Greene,Psychology & Self-Help
Stoner,John  Williams,Contemporary & Literary Fiction
"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,Business & Productivity
Talash /,Mumtaz Mufti,Contemporary & Literary Fiction
